bus_id,bus_name,date,is_weekend,source,dest,operator,bus_type,capacity,seats_available,departure_time,arrival_time,duration_hours,distance_km,price,rating,is_night_service,is_direct,ai_generated
10001,NON-10001,2026-02-02,False,Delhi,Jaipur,MSRTC,Non-AC Sleeper,40,21,05:00:00,07:48:00,26.8,1339,1300,3.8,True,True,False
10002,AC -10002,2026-02-02,False,Delhi,Jaipur,RSRTC,AC Seater,45,14,08:30:00,06:54:00,22.4,1121,1150,4.0,False,True,False
10003,NON-10003,2026-02-02,False,Delhi,Jaipur,IntrCity SmartBus,Non-AC Sleeper,40,25,13:00:00,19:00:00,30.0,1500,1450,4.0,False,True,False
10004,AC -10004,2026-02-02,False,Delhi,Jaipur,GSRTC,AC Semi-Sleeper,40,17,12:00:00,15:36:00,27.6,1379,1650,3.9,False,True,False
10005,AC -10005,2026-02-02,False,Delhi,Jaipur,Raj Travels,AC Semi-Sleeper,40,15,11:30:00,05:12:00,17.7,883,1050,4.5,False,True,False
10006,NON-10006,2026-02-02,False,Delhi,Jaipur,JRTC,Non-AC Sleeper,40,19,20:30:00,11:36:00,15.1,755,700,3.7,False,True,False
10007,NON-10007,2026-02-02,False,Delhi,Jaipur,Bharathi Travels,Non-AC Seater,50,6,18:00:00,15:36:00,21.6,1079,850,4.0,False,True,False
10008,AC -10008,2026-02-02,False,Delhi,Jaipur,HRTC,AC Sleeper,35,25,21:00:00,20:54:00,23.9,1195,1700,3.9,True,True,False
10009,AC -10009,2026-02-02,False,Delhi,Jaipur,RedBus Express,AC Sleeper,35,13,02:00:00,11:36:00,9.6,479,700,4.2,True,True,False
10010,AC -10010,2026-02-02,False,Delhi,Jaipur,UPSRTC,AC Sleeper,35,10,04:00:00,05:00:00,25.0,1251,1800,4.0,True,True,False
10011,ELE-10011,2026-02-02,False,Delhi,Agra,UPSRTC,Electric Bus,40,37,08:30:00,11:48:00,3.3,163,200,4.1,False,True,False
10012,AC -10012,2026-02-02,False,Delhi,Agra,Shrinath Travels,AC Sleeper,35,16,07:00:00,13:36:00,6.6,331,500,4.3,False,True,False
10013,AC -10013,2026-02-02,False,Delhi,Agra,DTC,AC Seater,45,20,14:00:00,03:42:00,13.7,685,700,3.8,False,True,False
10014,MUL-10014,2026-02-02,False,Delhi,Agra,HRTC,Multi-Axle Volvo,43,35,13:00:00,22:00:00,9.0,450,900,4.1,False,True,False
10015,AC -10015,2026-02-02,False,Delhi,Agra,Jabbar Travels,AC Sleeper,35,15,09:30:00,01:24:00,15.9,796,1150,4.3,False,True,False
10016,AC -10016,2026-02-02,False,Delhi,Agra,Paulo Travels,AC Seater,45,12,17:30:00,02:54:00,9.4,471,500,4.2,False,True,False
10017,MUL-10017,2026-02-02,False,Delhi,Agra,KSRTC,Multi-Axle Volvo,43,8,18:00:00,05:42:00,11.7,586,1150,4.4,False,True,False
10018,ELE-10018,2026-02-02,False,Delhi,Agra,SRS Travels,Electric Bus,40,28,22:30:00,11:18:00,12.8,640,800,4.5,True,True,False
10019,VOL-10019,2026-02-02,False,Delhi,Chandigarh,Parveen Travels,Volvo AC,40,30,06:30:00,10:42:00,4.2,208,350,4.4,False,True,False
10020,ELE-10020,2026-02-02,False,Delhi,Chandigarh,Neeta Travels,Electric Bus,40,11,07:00:00,15:30:00,8.5,424,550,4.2,False,True,False
10021,MUL-10021,2026-02-02,False,Delhi,Chandigarh,RSRTC,Multi-Axle Volvo,43,41,10:00:00,22:48:00,12.8,642,1300,4.3,False,True,False
10022,AC -10022,2026-02-02,False,Delhi,Chandigarh,RedBus Express,AC Semi-Sleeper,40,14,16:00:00,03:00:00,11.0,550,650,4.3,False,True,False
10023,ELE-10023,2026-02-02,False,Delhi,Chandigarh,PRTC,Electric Bus,40,34,09:30:00,22:18:00,12.8,641,800,4.1,False,True,False
10024,VOL-10024,2026-02-02,False,Delhi,Chandigarh,BSRTC,Volvo AC,40,20,19:00:00,00:36:00,5.6,280,500,4.2,False,True,False
10025,VOL-10025,2026-02-02,False,Delhi,Chandigarh,CSRTC,Volvo AC,40,27,17:00:00,05:36:00,12.6,630,1100,4.1,False,True,False
10026,MUL-10026,2026-02-02,False,Delhi,Lucknow,Bharathi Travels,Multi-Axle Volvo,43,28,05:00:00,03:00:00,22.0,1100,2200,4.7,True,True,False
10027,ELE-10027,2026-02-02,False,Delhi,Lucknow,ASTC,Electric Bus,40,35,07:00:00,00:36:00,17.6,879,1150,4.1,False,True,False
10028,AC -10028,2026-02-02,False,Delhi,Lucknow,Mahasagar Travels,AC Semi-Sleeper,40,10,10:00:00,18:24:00,8.4,419,500,4.4,False,True,False
10029,AC -10029,2026-02-02,False,Delhi,Lucknow,PEPSU,AC Seater,45,23,09:00:00,05:54:00,20.9,1044,1100,3.8,False,True,False
10030,VOL-10030,2026-02-02,False,Delhi,Lucknow,Kaveri Travels,Volvo AC,40,33,15:00:00,05:12:00,14.2,708,1250,4.7,False,True,False
10031,VOL-10031,2026-02-02,False,Delhi,Lucknow,GSRTC,Volvo AC,40,38,18:30:00,06:12:00,11.7,583,1050,4.2,False,True,False
10032,AC -10032,2026-02-02,False,Mumbai,Pune,Goa RTC,AC Sleeper,35,30,08:00:00,03:36:00,19.6,981,1400,3.9,False,True,False
10033,AC -10033,2026-02-02,False,Mumbai,Pune,SETC,AC Sleeper,35,22,06:30:00,21:12:00,38.7,1937,2800,4.1,False,True,False
10034,AC -10034,2026-02-02,False,Mumbai,Pune,Goa RTC,AC Sleeper,35,26,10:30:00,02:30:00,16.0,801,1150,4.0,False,True,False
10035,NON-10035,2026-02-02,False,Mumbai,Pune,ASTC,Non-AC Seater,50,49,13:00:00,08:00:00,19.0,951,750,3.7,False,True,False
10036,MUL-10036,2026-02-02,False,Mumbai,Pune,BSRTC,Multi-Axle Volvo,43,24,12:00:00,10:00:00,22.0,1098,2200,4.3,False,True,False
10037,AC -10037,2026-02-02,False,Mumbai,Pune,KSRTC,AC Seater,45,8,18:00:00,13:18:00,19.3,967,1000,3.9,False,True,False
10038,AC -10038,2026-02-02,False,Mumbai,Pune,JRTC,AC Seater,45,8,19:00:00,10:42:00,39.7,1983,2050,3.8,False,True,False
10039,VOL-10039,2026-02-02,False,Mumbai,Pune,MSRTC,Volvo AC,40,16,03:00:00,23:12:00,20.2,1009,1800,4.1,True,True,False
10040,AC -10040,2026-02-02,False,Mumbai,Goa,JRTC,AC Semi-Sleeper,40,13,08:00:00,21:42:00,13.7,685,800,3.9,False,True,False
10041,NON-10041,2026-02-02,False,Mumbai,Goa,CSRTC,Non-AC Seater,50,27,08:30:00,18:18:00,9.8,492,400,3.8,False,True,False
10042,AC -10042,2026-02-02,False,Mumbai,Goa,BMTC,AC Sleeper,35,25,12:00:00,21:48:00,9.8,489,700,4.3,False,True,False
10043,AC -10043,2026-02-02,False,Mumbai,Goa,Green Line,AC Seater,45,37,15:00:00,03:36:00,12.6,628,650,4.2,False,True,False
10044,NON-10044,2026-02-02,False,Mumbai,Goa,KSRTC,Non-AC Sleeper,40,6,13:00:00,23:06:00,10.1,505,500,3.9,False,True,False
10045,MUL-10045,2026-02-02,False,Mumbai,Goa,WBTC,Multi-Axle Volvo,43,28,17:30:00,00:42:00,7.2,361,700,4.2,False,True,False
10046,MUL-10046,2026-02-02,False,Mumbai,Goa,PEPSU,Multi-Axle Volvo,43,24,18:00:00,06:12:00,12.2,610,1200,4.2,False,True,False
10047,ELE-10047,2026-02-02,False,Mumbai,Goa,RedBus Express,Electric Bus,40,10,22:30:00,14:24:00,15.9,794,1000,4.4,True,True,False
10048,NON-10048,2026-02-02,False,Mumbai,Goa,KSRTC,Non-AC Sleeper,40,5,22:00:00,06:48:00,8.8,438,400,3.8,True,True,False
10049,AC -10049,2026-02-02,False,Mumbai,Goa,TNSTC,AC Sleeper,35,24,04:00:00,08:48:00,4.8,239,350,3.9,True,True,False
10050,NON-10050,2026-02-02,False,Mumbai,Nashik,DTC,Non-AC Sleeper,40,24,05:30:00,12:18:00,6.8,341,350,3.8,True,True,False
10051,NON-10051,2026-02-02,False,Mumbai,Nashik,UPSRTC,Non-AC Sleeper,40,28,07:00:00,22:12:00,15.2,759,750,3.6,False,True,False
10052,AC -10052,2026-02-02,False,Mumbai,Nashik,UPSRTC,AC Sleeper,35,14,09:00:00,22:54:00,13.9,697,1000,4.0,False,True,False
10053,AC -10053,2026-02-02,False,Mumbai,Nashik,Shrinath Travels,AC Sleeper,35,8,14:00:00,19:30:00,5.5,277,400,4.4,False,True,False
10054,AC -10054,2026-02-02,False,Mumbai,Nashik,Neeta Travels,AC Sleeper,35,28,15:00:00,02:18:00,11.3,563,800,4.3,False,True,False
10055,ELE-10055,2026-02-02,False,Mumbai,Nashik,RSRTC,Electric Bus,40,20,18:30:00,10:18:00,15.8,789,1000,3.9,False,True,False
10056,AC -10056,2026-02-02,False,Mumbai,Nashik,Goa RTC,AC Seater,45,34,19:00:00,22:54:00,3.9,196,200,4.0,False,True,False
10057,AC -10057,2026-02-02,False,Mumbai,Surat,HRTC,AC Seater,45,42,07:00:00,20:24:00,13.4,672,700,3.8,False,True,False
10058,VOL-10058,2026-02-02,False,Mumbai,Surat,SRS Travels,Volvo AC,40,8,05:00:00,00:48:00,19.8,992,1750,4.3,True,True,False
10059,NON-10059,2026-02-02,False,Mumbai,Surat,KSRTC,Non-AC Sleeper,40,36,12:00:00,20:18:00,8.3,416,400,3.8,False,True,False
10060,MUL-10060,2026-02-02,False,Mumbai,Surat,KK Travels,Multi-Axle Volvo,43,37,10:00:00,18:54:00,8.9,445,900,4.6,False,True,False
10061,AC -10061,2026-02-02,False,Mumbai,Surat,Kerala RTC,AC Sleeper,35,13,11:30:00,20:12:00,8.7,435,650,4.2,False,True,False
10062,MUL-10062,2026-02-02,False,Mumbai,Surat,Paulo Travels,Multi-Axle Volvo,43,28,17:00:00,05:30:00,12.5,626,1250,4.7,False,True,False
10063,NON-10063,2026-02-02,False,Mumbai,Surat,Shrinath Travels,Non-AC Sleeper,40,32,18:30:00,15:54:00,21.4,1069,1050,4.2,False,True,False
10064,MUL-10064,2026-02-02,False,Mumbai,Surat,Kallada Travels,Multi-Axle Volvo,43,18,23:30:00,10:00:00,10.5,527,1050,4.7,True,True,False
10065,AC -10065,2026-02-02,False,Mumbai,Surat,APSRTC,AC Semi-Sleeper,40,23,22:30:00,21:18:00,22.8,1138,1350,4.1,True,True,False
10066,AC -10066,2026-02-02,False,Bangalore,Chennai,IntrCity SmartBus,AC Sleeper,35,21,05:30:00,22:36:00,17.1,857,1250,4.3,True,True,False
10067,NON-10067,2026-02-02,False,Bangalore,Chennai,PEPSU,Non-AC Seater,50,45,08:30:00,17:30:00,33.0,1650,1300,3.7,False,True,False
10068,NON-10068,2026-02-02,False,Bangalore,Chennai,Goa RTC,Non-AC Seater,50,45,09:00:00,18:42:00,33.7,1687,1350,3.8,False,True,False
10069,NON-10069,2026-02-02,False,Bangalore,Chennai,Green Line,Non-AC Seater,50,6,12:00:00,18:48:00,30.8,1541,1250,4.0,False,True,False
10070,AC -10070,2026-02-02,False,Bangalore,Chennai,BSRTC,AC Seater,45,24,11:30:00,15:30:00,28.0,1398,1450,3.9,False,True,False
10071,NON-10071,2026-02-02,False,Bangalore,Chennai,Kerala RTC,Non-AC Seater,50,25,18:30:00,20:36:00,26.1,1307,1050,3.8,False,True,False
10072,AC -10072,2026-02-02,False,Bangalore,Chennai,KPN Travels,AC Semi-Sleeper,40,25,19:00:00,06:36:00,35.6,1778,2150,4.3,False,True,False
