bus_id,bus_name,source,dest,operator,bus_type,capacity,seats_available,departure_time,arrival_time,duration_hours,price,date,rating,is_night_service,is_weekend,is_popular_route,cancellation_allowed,live_tracking
1001,NON-1001,Delhi,Chandigarh,Paulo Travels,Non-AC Seater,50,7,12:00:00,17:00:00,5,780.0,2026-02-02,4.0,False,False,True,True,True
1002,AC -1002,Delhi,Chandigarh,SRS Travels,AC Semi-Sleeper,40,2,20:30:00,01:30:00,5,1345.5,2026-02-02,4.2,True,False,True,True,True
1003,ELE-1003,Delhi,Chandigarh,Shrinath Travels,Electric Bus,40,13,05:00:00,10:00:00,5,1435.2,2026-02-02,4.2,True,False,True,False,True
1004,AC -1004,Delhi,Chandigarh,SRS Travels,AC Seater,45,25,10:00:00,15:00:00,5,1092.0,2026-02-02,4.0,False,False,True,False,False
1005,AC -1005,Delhi,Jaipur,Orange Travels,AC Seater,45,45,08:30:00,14:00:00,5.5,1365.0,2026-02-02,4.1,False,False,True,True,True
1006,AC -1006,Delhi,Jaipur,MSRTC,AC Seater,45,33,09:00:00,14:30:00,5.5,1365.0,2026-02-02,3.9,False,False,True,True,False
1007,ELE-1007,Delhi,Jaipur,Parveen Travels,Electric Bus,40,12,13:00:00,18:30:00,5.5,1560.0,2026-02-02,4.2,False,False,True,True,True
1008,NON-1008,Delhi,Jaipur,HRTC,Non-AC Seater,50,42,05:00:00,10:30:00,5.5,1121.25,2026-02-02,3.7,True,False,True,True,False
1009,AC -1009,Delhi,Jaipur,Greenline Travels,AC Semi-Sleeper,40,1,22:30:00,04:00:00,5.5,1681.88,2026-02-02,4.1,True,False,True,False,True
1010,ELE-1010,Delhi,Agra,National Travels,Electric Bus,40,0,04:30:00,08:30:00,4,1315.6,2026-02-02,4.4,True,False,True,True,True
1011,AC -1011,Delhi,Agra,SETC,AC Sleeper,35,34,13:00:00,17:00:00,4,1287.0,2026-02-02,3.9,False,False,True,True,False
1012,AC -1012,Delhi,Agra,HRTC,AC Sleeper,35,31,07:00:00,11:00:00,4,1287.0,2026-02-02,4.0,False,False,True,True,False
1013,AC -1013,Delhi,Agra,DTC,AC Sleeper,35,29,04:00:00,08:00:00,4,1480.05,2026-02-02,4.2,True,False,True,False,False
1014,NON-1014,Delhi,Agra,RSRTC,Non-AC Sleeper,40,21,05:00:00,09:00:00,4,1068.92,2026-02-02,4.0,True,False,True,False,False
1015,AC -1015,Delhi,Agra,APSRTC,AC Seater,45,23,19:00:00,23:00:00,4,1001.0,2026-02-02,4.0,False,False,True,False,False
1016,NON-1016,Delhi,Agra,Shrinath Travels,Non-AC Sleeper,40,37,21:00:00,01:00:00,4,1068.92,2026-02-02,4.2,True,False,True,False,True
1017,ELE-1017,Delhi,Lucknow,APSRTC,Electric Bus,40,10,22:30:00,06:30:00,8,1913.6,2026-02-02,3.8,True,False,True,True,False
1018,NON-1018,Delhi,Lucknow,Jabbar Travels,Non-AC Seater,50,15,23:00:00,07:00:00,8,1196.0,2026-02-02,4.0,True,False,True,True,False
1019,NON-1019,Delhi,Lucknow,Greenline Travels,Non-AC Sleeper,40,28,11:30:00,19:30:00,8,1352.0,2026-02-02,4.1,False,False,True,True,True
1020,ELE-1020,Delhi,Lucknow,Kerala RTC,Electric Bus,40,35,05:30:00,13:30:00,8,1913.6,2026-02-02,3.8,True,False,True,True,False
1021,AC -1021,Delhi,Lucknow,UPSRTC,AC Sleeper,35,0,09:00:00,17:00:00,8,1872.0,2026-02-02,4.1,False,False,True,True,False
1022,NON-1022,Delhi,Lucknow,UPSRTC,Non-AC Sleeper,40,39,05:00:00,13:00:00,8,1554.8,2026-02-02,3.9,True,False,True,True,False
1023,MUL-1023,Delhi,Lucknow,MSRTC,Multi-Axle Volvo,43,42,21:30:00,05:30:00,8,2631.2,2026-02-02,4.3,True,False,True,True,False
1024,MUL-1024,Delhi,Shimla,SRS Travels,Multi-Axle Volvo,43,38,06:30:00,14:30:00,8,2574.0,2026-02-02,4.4,False,False,True,True,True
1025,ELE-1025,Delhi,Shimla,SR Travels,Electric Bus,40,3,15:00:00,23:00:00,8,1872.0,2026-02-02,4.1,False,False,True,False,True
1026,AC -1026,Delhi,Shimla,OSRTC,AC Semi-Sleeper,40,2,22:30:00,06:30:00,8,2018.25,2026-02-02,3.8,True,False,True,False,False
1027,AC -1027,Delhi,Shimla,Goa RTC,AC Semi-Sleeper,40,27,17:00:00,01:00:00,8,1755.0,2026-02-02,4.0,False,False,True,False,False
1028,ELE-1028,Delhi,Shimla,GSRTC,Electric Bus,40,12,07:30:00,15:30:00,8,1872.0,2026-02-02,3.9,False,False,True,True,False
1029,ELE-1029,Delhi,Shimla,Shrinath Travels,Electric Bus,40,39,09:00:00,17:00:00,8,1872.0,2026-02-02,4.5,False,False,True,True,True
1030,NON-1030,Delhi,Shimla,SETC,Non-AC Sleeper,40,17,05:00:00,13:00:00,8,1749.15,2026-02-02,3.8,True,False,True,True,False
1031,MUL-1031,Delhi,Manali,KSRTC,Multi-Axle Volvo,43,7,13:00:00,02:00:00,13,4004.0,2026-02-02,4.0,False,False,True,True,False
1032,NON-1032,Delhi,Manali,VRL Travels,Non-AC Seater,50,4,21:00:00,10:00:00,13,2093.0,2026-02-02,3.8,True,False,True,True,False
1033,VOL-1033,Delhi,Manali,DTC,Volvo AC,40,36,12:00:00,01:00:00,13,3640.0,2026-02-02,3.9,False,False,True,True,False
1034,NON-1034,Delhi,Manali,RSRTC,Non-AC Seater,50,4,04:00:00,17:00:00,13,2093.0,2026-02-02,3.7,True,False,True,False,False
1035,MUL-1035,Delhi,Manali,HRTC,Multi-Axle Volvo,43,33,08:30:00,21:30:00,13,4004.0,2026-02-02,4.0,False,False,True,True,False
1036,MUL-1036,Delhi,Manali,MSRTC,Multi-Axle Volvo,43,22,04:30:00,17:30:00,13,4604.6,2026-02-02,4.2,True,False,True,True,False
1037,MUL-1037,Delhi,Haridwar,TNSTC,Multi-Axle Volvo,43,32,22:00:00,03:30:00,5.5,2137.85,2026-02-02,4.2,True,False,True,True,False
1038,AC -1038,Delhi,Haridwar,GSRTC,AC Semi-Sleeper,40,9,04:30:00,10:00:00,5.5,1457.62,2026-02-02,3.8,True,False,True,False,False
1039,MUL-1039,Delhi,Haridwar,RSRTC,Multi-Axle Volvo,43,9,08:00:00,13:30:00,5.5,1859.0,2026-02-02,4.0,False,False,True,True,False
1040,NON-1040,Delhi,Haridwar,APSRTC,Non-AC Sleeper,40,12,23:00:00,04:30:00,5.5,1263.27,2026-02-02,3.7,True,False,True,True,False
1041,VOL-1041,Delhi,Haridwar,SRS Travels,Volvo AC,40,14,19:00:00,00:30:00,5.5,1690.0,2026-02-02,4.3,False,False,True,True,True
1042,AC -1042,Delhi,Haridwar,IntrCity SmartBus,AC Seater,45,37,15:00:00,20:30:00,5.5,1183.0,2026-02-02,4.3,False,False,True,False,True
1043,ELE-1043,Delhi,Dehradun,SETC,Electric Bus,40,6,07:30:00,13:30:00,6,1456.0,2026-02-02,4.1,False,False,True,True,False
1044,AC -1044,Delhi,Dehradun,TNSTC,AC Sleeper,35,21,09:00:00,15:00:00,6,1638.0,2026-02-02,4.1,False,False,True,True,False
1045,AC -1045,Delhi,Dehradun,DTC,AC Seater,45,7,04:30:00,10:30:00,6,1465.1,2026-02-02,3.7,True,False,True,True,False
1046,AC -1046,Delhi,Dehradun,UPSRTC,AC Semi-Sleeper,40,28,20:30:00,02:30:00,6,1569.75,2026-02-02,4.0,True,False,True,False,False
1047,NON-1047,Delhi,Dehradun,HRTC,Non-AC Sleeper,40,7,08:00:00,14:00:00,6,1183.0,2026-02-02,3.6,False,False,True,True,False
1048,NON-1048,Delhi,Dehradun,UPSRTC,Non-AC Sleeper,40,28,11:00:00,17:00:00,6,1183.0,2026-02-02,3.7,False,False,True,True,False
1049,AC -1049,Delhi,Dehradun,Green Line Travels,AC Sleeper,35,12,10:00:00,16:00:00,6,1638.0,2026-02-02,4.4,False,False,True,True,True
1050,AC -1050,Mumbai,Pune,Neeta Travels,AC Seater,45,20,14:00:00,17:30:00,3.5,819.0,2026-02-02,4.1,False,False,True,False,False
1051,VOL-1051,Mumbai,Pune,SETC,Volvo AC,40,20,12:00:00,15:30:00,3.5,1170.0,2026-02-02,4.0,False,False,True,True,False
1052,NON-1052,Mumbai,Pune,MSRTC,Non-AC Seater,50,1,04:30:00,08:00:00,3.5,672.75,2026-02-02,3.8,True,False,True,True,False
1053,AC -1053,Mumbai,Pune,Mahasagar Travels,AC Seater,45,3,20:30:00,00:00:00,3.5,941.85,2026-02-02,4.4,True,False,True,False,True
